# t,x,y,z,qx,qy,qz,qw
1772335297.720921,-0.000078,0.000010,-0.310284,1.000000,-0.000000,-0.000000,-0.000000
1772335297.828923,-0.000078,0.000010,-0.310284,1.000000,-0.000000,-0.000000,-0.000000
1772335297.930925,-0.000078,0.000010,-0.310284,1.000000,-0.000000,-0.000000,-0.000000
1772335298.038928,-0.000078,0.000010,-0.310284,1.000000,-0.000000,-0.000000,-0.000000
1772335298.140930,-0.000078,0.000010,-0.310284,1.000000,-0.000000,-0.000000,-0.000000
1772335298.248932,-0.000078,0.000010,-0.310284,1.000000,-0.000000,-0.000000,-0.000000
1772335298.350934,-0.000078,0.000010,-0.310284,1.000000,-0.000000,-0.000000,-0.000000
1772335298.458937,-0.000078,0.000010,-0.310284,1.000000,-0.000000,-0.000000,-0.000000
1772335298.569939,-0.000078,0.000010,-0.308984,1.000000,0.000008,0.000378,-0.000010
1772335298.677941,0.000339,0.000001,-0.245038,0.999979,0.000332,0.006399,-0.000121
1772335298.785944,0.002647,-0.000044,-0.130246,0.999853,0.000957,0.017123,-0.000311
1772335298.893946,0.008738,-0.000162,-0.020076,0.999481,0.001720,0.032165,-0.000557
1772335298.995948,0.021219,-0.000401,0.085003,0.998817,0.002478,0.048565,-0.000801
1772335299.103950,0.045820,-0.000870,0.201922,0.997765,0.003265,0.066736,-0.001042
1772335299.211953,0.086990,-0.001652,0.328594,0.996426,0.004004,0.084369,-0.001246
1772335299.313955,0.145512,-0.002760,0.459471,0.995008,0.004644,0.099680,-0.001399
1772335299.421957,0.232370,-0.004398,0.610305,0.993531,0.005253,0.113431,-0.001508
1772335299.532959,0.351705,-0.006640,0.776870,0.992201,0.005807,0.124502,-0.001568
1772335299.631962,0.485832,-0.009152,0.933137,0.991234,0.006240,0.131959,-0.001584
1772335299.724964,0.636576,-0.011964,1.084385,0.990526,0.006596,0.137156,-0.001570
1772335299.805965,0.787846,-0.014776,1.218392,0.990106,0.006867,0.140145,-0.001537
1772335299.886967,0.957524,-0.017918,1.352301,0.989894,0.007105,0.141622,-0.001479
1772335299.964969,1.138116,-0.021248,1.479866,0.989841,0.007302,0.141981,-0.001408
1772335300.036970,1.319554,-0.024577,1.595543,0.989903,0.007457,0.141541,-0.001328
1772335300.105972,1.506479,-0.027988,1.703994,0.990029,0.007582,0.140655,-0.001239
1772335300.174973,1.705987,-0.031608,1.809862,0.990216,0.007683,0.139327,-0.001138
1772335300.234974,1.889506,-0.034915,1.899572,0.990412,0.007754,0.137922,-0.001042
1772335300.294976,2.082183,-0.038364,1.986937,0.990629,0.007807,0.136356,-0.000939
1772335300.354977,2.283867,-0.041945,2.071920,0.990867,0.007844,0.134615,-0.000828
1772335300.414978,2.494410,-0.045651,2.154526,0.991110,0.007866,0.132810,-0.000711
1772335300.474980,2.713658,-0.049473,2.234773,0.991352,0.007872,0.130993,-0.000588
1772335300.534981,2.941474,-0.053400,2.312748,0.991596,0.007863,0.129135,-0.000461
1772335300.594982,3.177740,-0.057423,2.388616,0.991816,0.007840,0.127431,-0.000331
1772335300.642983,3.372769,-0.060705,2.447935,0.991992,0.007812,0.126059,-0.000224
1772335300.693984,3.585752,-0.064245,2.509624,0.992172,0.007773,0.124638,-0.000110
1772335300.744985,3.804601,-0.067835,2.570014,0.992337,0.007725,0.123321,0.000005
1772335300.792986,4.015874,-0.071252,2.625742,0.992494,0.007673,0.122055,0.000112
1772335300.843987,4.245918,-0.074919,2.683865,0.992641,0.007609,0.120852,0.000226
1772335300.891989,4.467607,-0.078397,2.737602,0.992784,0.007542,0.119680,0.000333
1772335300.933989,4.665675,-0.081457,2.783965,0.992885,0.007479,0.118843,0.000423
1772335300.981990,4.896676,-0.084969,2.836285,0.993002,0.007401,0.117865,0.000525
1772335301.023991,5.102813,-0.088052,2.881493,0.993092,0.007328,0.117109,0.000612
1772335301.071992,5.342932,-0.091579,2.932518,0.993201,0.007241,0.116187,0.000705
1772335301.113993,5.556963,-0.094667,2.976627,0.993292,0.007161,0.115406,0.000785
1772335301.152994,5.758959,-0.097531,3.017169,0.993374,0.007084,0.114701,0.000856
1772335301.191995,5.964057,-0.100391,3.057321,0.993447,0.007004,0.114077,0.000924
1772335301.233996,6.188366,-0.103462,3.100122,0.993535,0.006917,0.113315,0.000992
1772335301.272997,6.399815,-0.106302,3.139492,0.993610,0.006833,0.112653,0.001053
1772335301.311997,6.614282,-0.109131,3.178511,0.993680,0.006748,0.112041,0.001109
1772335301.353998,6.848577,-0.112160,3.220099,0.993765,0.006654,0.111294,0.001167
1772335301.392999,7.069199,-0.114956,3.258338,0.993839,0.006566,0.110631,0.001217
1772335301.432000,7.292741,-0.117733,3.296210,0.993914,0.006477,0.109963,0.001263
1772335301.474001,7.536701,-0.120700,3.336567,0.993992,0.006380,0.109254,0.001310
1772335301.513002,7.766199,-0.123431,3.373650,0.994074,0.006289,0.108511,0.001349
1772335301.552003,7.998512,-0.126139,3.410340,0.994146,0.006198,0.107857,0.001387
1772335301.594003,8.251800,-0.129025,3.449381,0.994237,0.006098,0.107024,0.001426
1772335301.633004,8.489847,-0.131677,3.485218,0.994317,0.006006,0.106281,0.001460
1772335301.672005,8.730607,-0.134300,3.520646,0.994393,0.005912,0.105575,0.001492
1772335301.714006,8.992869,-0.137090,3.558291,0.994486,0.005811,0.104700,0.001529
1772335301.753007,9.239132,-0.139648,3.592788,0.994566,0.005717,0.103939,0.001563
1772335301.792008,9.487994,-0.142173,3.626840,0.994651,0.005622,0.103129,0.001595
1772335301.834009,9.758861,-0.144853,3.662995,0.994741,0.005519,0.102261,0.001635
